"School","SA1","No. of Students"
"Forrest Primary  School","80106106714","7"
"Forrest Primary  School","80106113105","7"
"Forrest Primary  School","80106106209","8"
"Forrest Primary  School","80106106402","8"
"Forrest Primary  School","80106112901","8"
"Forrest Primary  School","80106112902","8"
"Forrest Primary  School","80106106208","9"
"Forrest Primary  School","80106106704","9"
"Forrest Primary  School","80106106705","10"
"Forrest Primary  School","80106106303","11"
"Forrest Primary  School","80106106413","12"
"Forrest Primary  School","80106113103","12"
"Forrest Primary  School","80106106701","14"
"Forrest Primary  School","80106113102","15"
"Forrest Primary  School","80106106301","24"
"Forrest Primary  School","80106106205","26"
"Franklin Early Childhood School","80104103915","5"
"Franklin Early Childhood School","80104104017","5"
"Franklin Early Childhood School","80104103920","8"
"Franklin Early Childhood School","80104103923","9"
"Franklin Early Childhood School","80104103909","10"
"Franklin Early Childhood School","80104103910","11"
"Franklin Early Childhood School","80104103908","12"
"Franklin Early Childhood School","80104103912","12"
"Franklin Early Childhood School","80104103907","13"
"Franklin Early Childhood School","80104103914","13"
"Franklin Early Childhood School","80104103922","13"
"Franklin Early Childhood School","80104103925","14"
"Franklin Early Childhood School","80104103927","15"
"Franklin Early Childhood School","80104103924","17"
"Franklin Early Childhood School","80104103919","18"
"Fraser Primary School","80101100904","5"
"Fraser Primary School","80101100612","6"
"Fraser Primary School","80101100405","7"
"Fraser Primary School","80101100604","7"
"Fraser Primary School","80101100614","8"
"Fraser Primary School","80101100608","9"
"Fraser Primary School","80101100623","10"
"Fraser Primary School","80101100908","10"
"Fraser Primary School","80101100403","11"
"Fraser Primary School","80101100401","13"
"Fraser Primary School","80101100620","13"
"Fraser Primary School","80101100605","20"
"Fraser Primary School","80101100618","21"
"Fraser Primary School","80101100606","23"
"Fraser Primary School","80101101004","23"
"Fraser Primary School","80101101002","24"
"Fraser Primary School","80101100622","27"
"Fraser Primary School","80101101005","30"
"Fraser Primary School","80101100607","31"
"Fraser Primary School","80101101003","40"
"Fraser Primary School","80101101001","43"
"Garran Primary School","80109110303","5"
"Garran Primary School","80109110507","5"
"Garran Primary School","80109110701","5"
"Garran Primary School","80109111001","5"
"Garran Primary School","80108109304","6"
"Garran Primary School","80106106903","7"
"Garran Primary School","80109110307","9"
"Garran Primary School","80109110204","10"
"Garran Primary School","80109110702","18"
"Garran Primary School","80109110206","21"
"Garran Primary School","80109110205","23"
"Garran Primary School","80109110209","25"
"Garran Primary School","80109110203","44"
"Garran Primary School","80109110211","56"
"Garran Primary School","80109110202","65"
"Garran Primary School","80109110207","128"
"Gilmore Primary School","80107107704","5"
"Gilmore Primary School","80107107706","5"
"Gilmore Primary School","80107108701","5"
"Gilmore Primary School","80107107703","9"
"Gilmore Primary School","80107107707","11"
"Gilmore Primary School","80107107705","14"
"Gilmore Primary School","80107107702","18"
"Gilmore Primary School","80107107701","23"
"Giralang Primary School","80101102506","5"
"Giralang Primary School","80104103704","6"
"Giralang Primary School","80101101109","7"
"Giralang Primary School","80101101110","10"
"Giralang Primary School","80101101106","18"
"Giralang Primary School","80101101108","18"
"Giralang Primary School","80101101102","19"
"Giralang Primary School","80101101105","20"
"Giralang Primary School","80101101104","37"
"Giralang Primary School","80101101103","41"
"Giralang Primary School","80101101101","48"
"Gold Creek School","80104103708","5"
"Gold Creek School","80104103912","5"
"Gold Creek School","80104104301","5"
"Gold Creek School","80104104603","5"
"Gold Creek School","80104104607","5"
"Gold Creek School","80104104613","5"
"Gold Creek School","80104104632","5"
"Gold Creek School","80104104633","5"
"Gold Creek School","80104104801","5"
"Gold Creek School","80104104808","5"
"Gold Creek School","80104104811","5"
"Gold Creek School","80104104302","6"
"Gold Creek School","80104104601","6"
"Gold Creek School","80104104616","6"
"Gold Creek School","80104104619","6"
"Gold Creek School","80104104709","6"
"Gold Creek School","80104104804","6"
"Gold Creek School","80104104812","6"
"Gold Creek School","80104103509","7"
"Gold Creek School","80104103706","7"
"Gold Creek School","80104104707","7"
"Gold Creek School","80104104813","7"
"Gold Creek School","10106154233","8"
"Gold Creek School","80104103522","8"
"Gold Creek School","80104104631","8"
"Gold Creek School","80104104635","8"
"Gold Creek School","80104104702","8"
"Gold Creek School","80104103612","9"
